ID,Codigo,Departamento,Poblacion
1,11,Bogotá D.C.,7743955
2,91,Amazonas,79485
3,05,Antioquia,5921500
4,81,Arauca,262174
5,08,Atlántico,2433285
6,13,Bolívar,2138863
7,15,Boyacá,1284375
8,17,Caldas,998255
9,18,Caquetá,401849
10,85,Casanare,384507
11,19,Cauca,1382555
12,20,Cesar,1207448
13,27,Chocó,534826
14,23,Córdoba,1659433
15,25,Cundinamarca,2926467
16,94,Guainía,48264
17,95,Guaviare,82267
18,41,Huila,1133862
19,44,La Guajira,957813
20,47,Magdalena,1297267
21,50,Meta,1089255
22,52,Nariño,1626806
23,54,Norte de Santander,1547533
24,86,Putumayo,348182
25,63,Quindío,540993
26,66,Risaralda,967479
27,88,San Andrés y Providencia,61732
28,68,Santander,2080080
29,70,Sucre,907574
30,73,Tolima,1334222
31,76,Valle del Cauca,4649439
32,97,Vaupés,44855
33,99,Vichada,107808
